                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    177,                0.00086,                      1,                      1,                0.90479,             9.5498e-05,             9.5498e-05,             9.5498e-05
                    178,                0.00051,                      1,                      1,                0.90479,             9.1963e-05,             9.1963e-05,             9.1963e-05
                    179,                0.00779,                      1,                      1,                0.90479,             8.8429e-05,             8.8429e-05,             8.8429e-05
                    180,                0.00032,                      1,                      1,                0.90479,             8.4895e-05,             8.4895e-05,             8.4895e-05
                    181,                0.00024,                      1,                      1,                0.90479,              8.136e-05,              8.136e-05,              8.136e-05
                    182,                0.00025,                      1,                      1,                0.90479,             7.7826e-05,             7.7826e-05,             7.7826e-05
                    183,                0.00041,                      1,                      1,                0.90479,             7.4292e-05,             7.4292e-05,             7.4292e-05
                    184,                0.00114,                      1,                      1,                0.90479,             7.0757e-05,             7.0757e-05,             7.0757e-05
                    185,                0.00334,                      1,                      1,                0.90479,             6.7223e-05,             6.7223e-05,             6.7223e-05
                    186,                0.00032,                      1,                      1,                0.90479,             6.3689e-05,             6.3689e-05,             6.3689e-05
                    187,                0.00099,                      1,                      1,                0.90479,             6.0154e-05,             6.0154e-05,             6.0154e-05
                    188,                  8e-05,                      1,                      1,                0.90479,              5.662e-05,              5.662e-05,              5.662e-05
                    189,                0.00106,                      1,                      1,                0.90479,             5.3086e-05,             5.3086e-05,             5.3086e-05
                    190,                 0.0005,                      1,                      1,                0.90479,             4.9552e-05,             4.9552e-05,             4.9552e-05
                    191,                0.00049,                      1,                      1,                0.90479,             4.6017e-05,             4.6017e-05,             4.6017e-05
                    192,                0.00036,                      1,                      1,                0.90479,             4.2483e-05,             4.2483e-05,             4.2483e-05
                    193,                0.00042,                      1,                      1,                0.90479,             3.8949e-05,             3.8949e-05,             3.8949e-05
                    194,                0.00667,                      1,                      1,                0.90479,             3.5414e-05,             3.5414e-05,             3.5414e-05
                    195,                0.00039,                      1,                      1,                0.90479,              3.188e-05,              3.188e-05,              3.188e-05
                    196,                  9e-05,                      1,                      1,                0.90479,             2.8346e-05,             2.8346e-05,             2.8346e-05
                    197,                0.00027,                      1,                      1,                0.90479,             2.4812e-05,             2.4812e-05,             2.4812e-05
                    198,                 0.0002,                      1,                      1,                0.90479,             2.1277e-05,             2.1277e-05,             2.1277e-05
                    199,                0.00013,                      1,                      1,                0.90479,             1.7743e-05,             1.7743e-05,             1.7743e-05
                    200,                0.00022,                      1,                      1,                0.90479,             1.4209e-05,             1.4209e-05,             1.4209e-05
